"Kanton";"Fahrzeuggruppe / -art";"Jahr der 1. Inverkehrsetzung";"Treibstoff";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Schweiz";"> Personentransportfahrzeuge";"2018";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;19;19;19;20;20;20
"Schweiz";"> Personentransportfahrzeuge";"2019";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;10;12;11;10;9
"Schweiz";"> Personentransportfahrzeuge";"2020";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;30;33;34;34
"Schweiz";"> Personentransportfahrzeuge";"2021";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;70;74;75
"Schweiz";"> Personentransportfahrzeuge";"2022";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;140;148
"Schweiz";"> Personentransportfahrzeuge";"2023";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;206
"Schweiz";"> Personentransportfahrzeuge";"2024";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;133
"Schweiz";"> Personentransportfahrzeuge";"Unbekannt";"Elektrisch";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweiz";"> Sachentransportfahrzeuge";"Vor 1960";"Elektrisch";9;8;8;6;5;4;4;4;3;3;3;3;3;3;3;3;0;0;0;0;0;1;1;1;1;3;3;4;3;3;3;3;3;3;3
"Schweiz";"> Sachentransportfahrzeuge";"1960 - 1979";"Elektrisch";22;19;18;16;15;12;9;8;9;9;9;7;7;7;6;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;3;4
"Schweiz";"> Sachentransportfahrzeuge";"1980 - 1989";"Elektrisch";10;10;13;10;8;6;6;4;4;4;3;3;3;2;3;4;2;2;3;2;2;2;2;2;2;2;2;3;4;4;4;4;4;2;3
"Schweiz";"> Sachentransportfahrzeuge";"1990 - 1999";"Elektrisch";0;7;9;26;29;25;36;39;48;62;63;59;49;49;45;40;34;32;28;24;21;22;16;13;10;9;3;3;4;4;3;3;4;4;4
"Schweiz";"> Sachentransportfahrzeuge";"2000 - 2004";"Elektrisch";0;0;0;0;0;0;0;0;0;0;21;22;33;48;62;65;64;58;54;51;49;47;38;32;26;24;21;17;16;14;11;7;6;6;5
"Schweiz";"> Sachentransportfahrzeuge";"2005 - 2009";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;12;14;25;26;28;28;27;23;20;14;13;12;9;10;9;7;6;5;5
"Schweiz";"> Sachentransportfahrzeuge";"2010 - 2014";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;17;135;250;331;361;355;359;352;331;330;319;311;290;261
"Schweiz";"> Sachentransportfahrzeuge";"2015";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131;153;155;157;163;159;154;158;157;151
"Schweiz";"> Sachentransportfahrzeuge";"2016";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;122;179;177;183;178;177;178;180;168
"Schweiz";"> Sachentransportfahrzeuge";"2017";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103;185;189;190;190;191;185;183
"Schweiz";"> Sachentransportfahrzeuge";"2018";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;204;286;290;292;295;291;281
"Schweiz";"> Sachentransportfahrzeuge";"2019";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;447;560;563;563;541;445
"Schweiz";"> Sachentransportfahrzeuge";"2020";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;366;756;771;762;681
"Schweiz";"> Sachentransportfahrzeuge";"2021";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;955;1613;1626;1592
"Schweiz";"> Sachentransportfahrzeuge";"2022";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1335;2340;2345
"Schweiz";"> Sachentransportfahrzeuge";"2023";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2046;3630
"Schweiz";"> Sachentransportfahrzeuge";"2024";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1490
"Schweiz";"> Sachentransportfahrzeuge";"Unbekannt";"Elektrisch";3;2;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweiz";"> Landwirtschaftsfahrzeuge";"Vor 1960";"Elektrisch";1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
"Schweiz";"> Landwirtschaftsfahrzeuge";"1960 - 1979";"Elektrisch";4;4;4;4;5;6;6;5;4;4;4;5;4;4;4;3;3;2;1;0;0;0;0;0;0;0;1;2;2;3;3;3;3;5;7
"Schweiz";"> Landwirtschaftsfahrzeuge";"1980 - 1989";"Elektrisch";10;10;9;9;8;8;8;8;8;9;8;8;8;7;7;7;8;7;4;4;4;7;7;7;6;5;4;4;4;4;5;5;5;4;4
"Schweiz";"> Landwirtschaftsfahrzeuge";"1990 - 1999";"Elektrisch";1;2;2;2;4;5;6;7;8;9;11;12;13;13;11;9;5;6;6;5;5;4;3;3;3;3;3;3;3;2;2;2;1;0;0
"Schweiz";"> Landwirtschaftsfahrzeuge";"2000 - 2004";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;1;5;6;9;10;11;11;10;10;10;9;10;10;11;11;11;12;12;13;12;11;11;11;13
"Schweiz";"> Landwirtschaftsfahrzeuge";"2005 - 2009";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;5;9;11;11;11;10;10;10;10;10;9;9;9;8;8;7;7;8
