Date,Traffic Count
2001, 15832
2002,15817
2003,15449
2004,15335
2005,15085
2006,16550
2007,14810
2008,14400
2009,14200  
2010,14000
2011,13850
2012,13800
2013,14100
2014,13600
2015,14300
2016,14600
2017,13800
2018,13702
2019,13779
2020,12205
2021,13037
2022,14053
2023,11652
