Traffic,CO (mg/m³)
50028.81692995214,0.4041418997668999
50200.63018588381,0.4012907925407927
50372.44344181548,0.39843968531468543
50544.25669774715,0.3955885780885782
50716.069953678816,0.39273747086247096
50887.88320961049,0.38988636363636375
51523.60428187403,0.37250000000000005
51515.783768671536,0.37875
51491.36782536151,0.38875
51487.758775182294,0.38166666666666665
51508.90913360525,0.3799999999999999
51563.340047583726,0.37666666666666665
51607.41209059448,0.3774999999999999
51841.703757261144,0.37416666666666665
52226.3192142504,0.3654166666666666
52667.34327339019,0.3633333333333333
53137.09372141886,0.35291666666666666
53485.39658880237,0.3445833333333333
53858.338793103445,0.3666666666666666
54303.87440807245,0.36749999999999994
54659.29711981566,0.35708333333333336
55061.66522017409,0.37
55525.36665386584,0.37875
55965.94725422427,0.38000000000000006
56368.229467485915,0.37875000000000003
56632.478123399895,0.38083333333333336
56750.76678827444,0.38375000000000004
56808.34174347158,0.38166666666666677
56814.369476446496,0.38833333333333336
56862.55849974398,0.39458333333333334
56884.30446748593,0.3895833333333333
56929.64524129544,0.38166666666666665
57002.241391449046,0.37666666666666665
57051.34676779314,0.3708333333333333
57056.78950972862,0.3616666666666666
57006.01558499744,0.36
56885.142197900655,0.36374999999999996
56773.65429467485,0.36541666666666667
56792.21200076804,0.3683333333333334
56809.56943804403,0.37583333333333335
56823.89354198669,0.37583333333333324
56891.75528033795,0.3729166666666666
56985.53619431644,0.35874999999999996
57022.46538978495,0.34041666666666665
57110.63517665131,0.3316666666666667
57238.789388120844,0.32375000000000004
57422.959728622634,0.3216666666666667
57620.700902457764,0.3241666666666667
57847.10202252945,0.32125000000000004
58077.881592421916,0.31875
58264.280875576034,0.3158333333333333
58453.48123399897,0.3083333333333333
58656.83992575525,0.3091666666666666
58864.08840245776,0.31375
58953.377380952385,0.3170833333333334
59055.410274643786,0.325
59230.898813496475,0.335
59356.51534209862,0.3391666666666667
59381.96332231368,0.33958333333333335
59400.19665564701,0.3395833333333334
59107.967085754535,0.3383333333333333
59010.88939758249,0.3358333333333333
59180.98276675811,0.33541666666666664
59298.19947822765,0.3362499999999999
59713.75929005562,0.32833333333333325
60054.10274883698,0.31708333333333333
60352.03258754665,0.34208333333333335
60561.875269892116,0.36791666666666667
60568.902092022516,0.36374999999999996
60593.616123309665,0.36291666666666667
60670.05855961473,0.3620833333333333
60641.54906140684,0.3575
60582.17428542119,0.35458333333333336
60640.02665997316,0.35625000000000007
60701.55488577962,0.35791666666666666
60773.452959256305,0.35708333333333336
60894.438398324404,0.35333333333333333
60992.15994850363,0.355
60899.93391803766,0.3520833333333333
60771.964832016165,0.3441666666666667
60727.53875674734,0.33958333333333335
60606.27347463583,0.3333333333333333
60521.016884280594,0.32999999999999996
60639.94493087558,0.3316666666666666
61066.84094342037,0.3370833333333333
61137.76249359959,0.3391666666666666
60906.08991295443,0.3354166666666666
60697.9671530978,0.33041666666666664
60146.33059395801,0.3358333333333333
59665.58287890425,0.3425
59550.30245775729,0.31708333333333333
59576.57549923195,0.2954166666666666
59550.532680491546,0.3004166666666666
59620.06565540194,0.3025
59639.72900665642,0.3029166666666666
59642.18958013312,0.30416666666666664
59707.33887175153,0.30374999999999996
59709.08226353376,0.30333333333333334
59758.327873859096,0.3058333333333333
59834.00491009254,0.30666666666666664
59905.80621550511,0.2991666666666667
60001.89437865889,0.29125
60025.63498072726,0.29189420194094345
59942.639398026426,0.29384533763363696
59948.687947774124,0.2879978765186943
59966.34735927958,0.28340358441494395
60001.61771057431,0.28346747172155606
59951.35027508641,0.2797225234032072
59680.9661599583,0.2768210929236796
59624.984497223166,0.27463681398255074
59629.78901099008,0.2723906720416013
59557.469111088256,0.27528074250045437
59624.05196775751,0.2757992880238033
59592.09412775935,0.267716252751439
59517.80284229183,0.276939287915996
59533.35085697785,0.290513605325201
59512.64470238513,0.2920349437677852
59460.04118714011,0.29409720305673726
59397.53276775822,0.2936454051366986
59346.91761878244,0.29292126545662395
59366.52934647158,0.2910901125625154
59344.167830667655,0.28901483664408023
59301.0757917981,0.28757461965944353
59283.79800678102,0.28532563147099743
59219.76031434736,0.2863330771823354
59187.61815342312,0.29106766070803064
59169.8662411379,0.28777877014702613
59156.10520941645,0.2816493204548087
59134.55200966988,0.28330961897739504
59081.171209309454,0.2853787013180763
59018.82552646902,0.28487635071456047
58969.51294195011,0.28410711192783117
58989.610211280975,0.28224294907501285
58966.36943136462,0.28016931483161805
58922.85593220682,0.278752203214036
58905.05293536068,0.27656928303032113
58840.93553219508,0.27765148879694634
58809.675598653455,0.2822928051260297
58863.04397641045,0.27486365303342825
58933.09527007914,0.2608843162904137
58972.00495139881,0.2581334737735191
58985.802839369775,0.25984642424763627
59007.07866018985,0.26115335213124513
59052.20478795377,0.265141678916398
59053.115426271455,0.2696550918095192
59021.50438004143,0.27307161424581133
58986.48448035644,0.2777584181223129
58866.786038074446,0.27763358936895416
58657.130717111606,0.2733587257009753
58475.25042748995,0.2778991944518943
58913.643499579804,0.2734918081734026
58910.93010923588,0.274026347676898
58908.21671889196,0.2745608871803934
58905.50332854804,0.27509542668388887
58902.789938204114,0.2756299661873843
58900.0765478602,0.2761645056908797
