Date,Traffic Count
2013-01-31,
2013-02-28,
2013-03-31,
2013-04-30,
2013-05-31,
2013-06-30,
2013-07-31,
2013-08-31,
2013-09-30,
2013-10-31,
2013-11-30,
2013-12-31,29055.64516129032
2014-01-31,27099.96774193548
2014-02-28,29168.89285714286
2014-03-31,30632.0
2014-04-30,32338.9
2014-05-31,31384.74193548387
2014-06-30,31505.46666666667
2014-07-31,33119.87096774193
2014-08-31,31089.22580645161
2014-09-30,32414.26666666667
2014-10-31,32563.12903225806
2014-11-30,29862.96666666667
2014-12-31,29814.61290322581
2015-01-31,27772.9032258065
2015-02-28,29239.6071428571
2015-03-31,31647.1935483871
2015-04-30,33738.6
2015-05-31,33611.0
2015-06-30,33614.5
2015-07-31,35873.3548387097
2015-08-31,32276.4516129032
2015-09-30,34227.7666666667
2015-10-31,33339.6774193548
2015-11-30,31448.7333333333
2015-12-31,30734.1612903226
2016-01-31,27470.9677419355
2016-02-29,29781.6551724138
2016-03-31,31372.2580645161
2016-04-30,
2016-05-31,33853.0333333333
2016-06-30,33366.064516129
2016-07-31,33617.6333333333
2016-08-31,35308.4193548387
2016-09-30,33456.3870967742
2016-10-31,35121.7
2016-11-30,33939.5161290323
2016-12-31,31456.4
2017-01-31,31064.8709677419
2017-01-31,28238.8064516129
2017-02-28,30398.6071428571
2017-03-31,32858.4193548387
2017-04-30,
2017-05-31,34248.2333333333
2017-06-30,34115.6451612903
2017-07-31,35003.6666666667
2017-08-31,36173.5161290323
2017-09-30,33462.6451612903
2017-10-31,34898.9666666667
2017-11-30,34272.935483871
2017-12-31,31250.8666666667
2018-01-31,29202.4516129032
2018-01-31,28231.6774193548
2018-02-28,30183.0357142857
2018-03-31,31839.6129032258
2018-04-30,
2018-05-31,33132.1290322581
2018-06-30,34398.9666666667
2018-07-31,35054.8709677419
2018-08-31,
2018-09-30,34220.5333333333
2018-10-31,33417.4838709677
2018-11-30,30870.5666666667
2018-12-31,30015.7419354839
2019-01-31,28777.6451612903
2019-02-28,30091.25
2019-03-31,31357.935483871
2019-04-30,33094.4333333333
2019-05-31,33132.7741935484
2019-06-30,33163.7666666667
2019-07-31,34976.5483870968
2019-08-31,31840.4838709677
2019-09-30,33682.6333333333
2019-10-31,33393.4516129032
2019-11-30,30030.3666666667
2019-12-31,29555.6451612903
2020-01-31,28649.6451612903
2020-02-29,30073.9310344828
2020-03-31,19126.0967741935
2020-04-30,15141.4333333333
2020-05-31,
2020-06-30,
2020-07-31,
2020-08-31,
2020-09-30,
2020-10-31,
2020-11-30,
2020-12-31,
